<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
LKOH,D,20110413,000000,1992.1000000,1725875
LKOH,D,20110414,000000,1951.2000000,2008934
LKOH,D,20110415,000000,1965.0000000,1607644
LKOH,D,20110418,000000,1899.9000000,2305023
LKOH,D,20110419,000000,1949.9000000,1687553
LKOH,D,20110420,000000,1973.0000000,1877692
LKOH,D,20110421,000000,1953.9000000,1612317
LKOH,D,20110422,000000,1954.1000000,911499
LKOH,D,20110425,000000,1939.6000000,1946034
LKOH,D,20110426,000000,1918.0000000,1848886
LKOH,D,20110427,000000,1900.0000000,1747252
LKOH,D,20110428,000000,1904.0000000,1336263
LKOH,D,20110429,000000,1895.1000000,798944
LKOH,D,20110503,000000,1868.0000000,1585575
LKOH,D,20110504,000000,1828.7000000,2481453
LKOH,D,20110505,000000,1806.7000000,2170883
LKOH,D,20110506,000000,1863.5000000,2493436
LKOH,D,20110510,000000,1803.3000000,3332970
LKOH,D,20110511,000000,1777.5000000,2421262
LKOH,D,20110512,000000,1723.8000000,2852653
LKOH,D,20110513,000000,1733.4000000,1652267
LKOH,D,20110516,000000,1738.9000000,2019108
LKOH,D,20110517,000000,1742.0000000,2134155
LKOH,D,20110518,000000,1744.9000000,1919378
LKOH,D,20110519,000000,1747.0000000,1394935
LKOH,D,20110520,000000,1711.2000000,1843612
LKOH,D,20110523,000000,1702.9000000,1899815
LKOH,D,20110524,000000,1720.0000000,1461292
LKOH,D,20110525,000000,1749.5000000,1772985
LKOH,D,20110526,000000,1728.4000000,1798592
LKOH,D,20110527,000000,1757.4000000,1956492
LKOH,D,20110530,000000,1753.0000000,715878
LKOH,D,20110531,000000,1850.0000000,2648881
LKOH,D,20110601,000000,1768.5000000,3247313
LKOH,D,20110602,000000,1785.0000000,1927201
LKOH,D,20110603,000000,1744.5000000,2359320
LKOH,D,20110606,000000,1759.0000000,1573888
LKOH,D,20110607,000000,1795.8000000,1630144
LKOH,D,20110608,000000,1788.0000000,2329556
LKOH,D,20110609,000000,1800.0000000,2138698
LKOH,D,20110610,000000,1785.1000000,1962424
LKOH,D,20110614,000000,1771.9000000,1352991
LKOH,D,20110615,000000,1774.0000000,2616784
LKOH,D,20110616,000000,1773.0000000,1786402
LKOH,D,20110617,000000,1740.0000000,1584498
LKOH,D,20110620,000000,1737.9000000,1449758
LKOH,D,20110621,000000,1738.0000000,1097431
LKOH,D,20110622,000000,1754.0000000,1433703
LKOH,D,20110623,000000,1720.0000000,1993683
LKOH,D,20110624,000000,1745.9000000,1547189
LKOH,D,20110627,000000,1746.5000000,1466895
LKOH,D,20110628,000000,1762.0000000,1709577
LKOH,D,20110629,000000,1757.0000000,1155177
LKOH,D,20110630,000000,1777.3000000,1374664
LKOH,D,20110701,000000,1793.0000000,1913222
LKOH,D,20110704,000000,1803.9000000,908381
LKOH,D,20110705,000000,1804.7000000,1109439
LKOH,D,20110706,000000,1789.8000000,1215182
LKOH,D,20110707,000000,1837.5000000,1977944
LKOH,D,20110708,000000,1827.1000000,1820801
LKOH,D,20110711,000000,1803.9000000,1442111
LKOH,D,20110712,000000,1808.4000000,2532625
LKOH,D,20110713,000000,1822.0000000,1587619
LKOH,D,20110714,000000,1837.0000000,1764319
LKOH,D,20110715,000000,1838.1000000,1669393
LKOH,D,20110718,000000,1810.0000000,1504425
LKOH,D,20110719,000000,1826.1000000,1418875
LKOH,D,20110720,000000,1823.0000000,1048966
LKOH,D,20110721,000000,1872.0000000,2327080
LKOH,D,20110722,000000,1875.0000000,1611039
LKOH,D,20110725,000000,1878.0000000,1427538
LKOH,D,20110726,000000,1871.4000000,1077149
LKOH,D,20110727,000000,1846.4000000,1352550
LKOH,D,20110728,000000,1858.7000000,1110253
LKOH,D,20110729,000000,1848.0000000,1589059
LKOH,D,20110801,000000,1860.0000000,1667918
LKOH,D,20110802,000000,1835.0000000,1701273
LKOH,D,20110803,000000,1785.0000000,2529137
LKOH,D,20110804,000000,1740.0000000,2688723
LKOH,D,20110805,000000,1710.1000000,3662022
LKOH,D,20110808,000000,1669.0000000,3557473
LKOH,D,20110809,000000,1674.9000000,5230660
LKOH,D,20110810,000000,1590.0000000,3422883
LKOH,D,20110811,000000,1615.0000000,4256287
LKOH,D,20110812,000000,1619.7000000,3225382
LKOH,D,20110815,000000,1667.0000000,1549588
LKOH,D,20110816,000000,1628.0000000,2081420
LKOH,D,20110817,000000,1652.9000000,1873531
LKOH,D,20110818,000000,1632.0000000,2729323
LKOH,D,20110819,000000,1630.0000000,3585789
LKOH,D,20110822,000000,1626.2000000,1819289
LKOH,D,20110823,000000,1672.0000000,2541981
LKOH,D,20110824,000000,1686.0000000,2052572
LKOH,D,20110825,000000,1652.8000000,2164071
LKOH,D,20110826,000000,1680.0000000,2274692
LKOH,D,20110829,000000,1738.9000000,2473747
LKOH,D,20110830,000000,1728.7000000,2136224
LKOH,D,20110831,000000,1739.2000000,2038396
LKOH,D,20110901,000000,1738.0000000,2110779
LKOH,D,20110902,000000,1706.5000000,1646431
LKOH,D,20110905,000000,1697.8000000,1772419
LKOH,D,20110906,000000,1722.1000000,1901655
LKOH,D,20110907,000000,1770.3000000,2069292
LKOH,D,20110908,000000,1760.0000000,2366724
LKOH,D,20110909,000000,1727.0000000,2139485
LKOH,D,20110912,000000,1723.8000000,2260443
LKOH,D,20110913,000000,1708.4000000,2494261
LKOH,D,20110914,000000,1727.0000000,2179285
LKOH,D,20110915,000000,1733.0000000,4734992
LKOH,D,20110916,000000,1725.3000000,2155487
LKOH,D,20110919,000000,1741.7000000,1998498
LKOH,D,20110920,000000,1770.2000000,1851191
LKOH,D,20110921,000000,1767.8000000,1562163
LKOH,D,20110922,000000,1595.1000000,5599822
LKOH,D,20110923,000000,1537.1000000,5902429
LKOH,D,20110926,000000,1575.6000000,4119079
LKOH,D,20110927,000000,1606.3000000,2796450
LKOH,D,20110928,000000,1617.3000000,2676131
LKOH,D,20110929,000000,1653.8000000,2843802
LKOH,D,20110930,000000,1637.6000000,3225977
LKOH,D,20111003,000000,1605.0000000,3007091
LKOH,D,20111004,000000,1550.0000000,3464553
