<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
QIWI,D,20131216,000000,1750.0000000,1640
QIWI,D,20131217,000000,1738.6000000,1036
QIWI,D,20131218,000000,1752.0000000,1366
QIWI,D,20131219,000000,1702.0000000,1110
QIWI,D,20131220,000000,1690.0000000,1037
QIWI,D,20131223,000000,1750.0000000,1055
QIWI,D,20131224,000000,1749.9000000,1371
QIWI,D,20131225,000000,1690.1000000,1042
QIWI,D,20131226,000000,1748.0000000,111
QIWI,D,20131227,000000,1790.0000000,1212
QIWI,D,20131230,000000,1785.0000000,1020
QIWI,D,20140106,000000,1796.0000000,1103
QIWI,D,20140108,000000,1998.9000000,1189
QIWI,D,20140109,000000,1903.2000000,1208
QIWI,D,20140110,000000,1950.0000000,1300
QIWI,D,20140113,000000,1799.8000000,2069
QIWI,D,20140114,000000,1750.0000000,1736
QIWI,D,20140115,000000,1630.0000000,2537
QIWI,D,20140116,000000,1600.0000000,3003
QIWI,D,20140117,000000,1570.0000000,1578
QIWI,D,20140120,000000,1450.0000000,2182
QIWI,D,20140121,000000,1425.0000000,2371
QIWI,D,20140122,000000,1420.1000000,2720
QIWI,D,20140123,000000,1424.0000000,1295
QIWI,D,20140124,000000,1350.0000000,2430
QIWI,D,20140127,000000,1294.4000000,1540
QIWI,D,20140128,000000,1276.3000000,2452
QIWI,D,20140129,000000,1290.6000000,2407
QIWI,D,20140130,000000,1265.0000000,1508
QIWI,D,20140131,000000,1269.9000000,1486
QIWI,D,20140203,000000,1300.0000000,1601
QIWI,D,20140204,000000,1223.0000000,848
QIWI,D,20140205,000000,1195.0000000,1022
QIWI,D,20140206,000000,1270.0000000,738
QIWI,D,20140207,000000,1368.0000000,1204
QIWI,D,20140210,000000,1380.0000000,209
QIWI,D,20140211,000000,1355.4000000,1243
QIWI,D,20140212,000000,1355.0000000,483
QIWI,D,20140213,000000,1374.9000000,45
QIWI,D,20140214,000000,1360.0000000,49
QIWI,D,20140217,000000,1350.0000000,108
QIWI,D,20140218,000000,1430.0000000,1450
QIWI,D,20140219,000000,1455.0000000,2536
QIWI,D,20140220,000000,1454.9000000,332
QIWI,D,20140221,000000,1450.0000000,200
QIWI,D,20140224,000000,1439.0000000,164
QIWI,D,20140225,000000,1470.4000000,253
QIWI,D,20140226,000000,1530.0000000,1676
QIWI,D,20140227,000000,1629.0000000,937
QIWI,D,20140228,000000,1730.0000000,1587
QIWI,D,20140303,000000,1516.0000000,1107
QIWI,D,20140304,000000,1530.0000000,1010
QIWI,D,20140305,000000,1489.9000000,430
QIWI,D,20140306,000000,1470.0000000,259
QIWI,D,20140307,000000,1455.0000000,260
QIWI,D,20140311,000000,1460.9000000,273
QIWI,D,20140312,000000,1388.0000000,966
QIWI,D,20140313,000000,1250.0000000,421
QIWI,D,20140314,000000,1140.0000000,875
QIWI,D,20140317,000000,1309.9000000,2146
QIWI,D,20140318,000000,1310.1000000,408
QIWI,D,20140319,000000,1313.1000000,96
QIWI,D,20140320,000000,1319.7000000,15
QIWI,D,20140321,000000,1280.0000000,220
QIWI,D,20140324,000000,1276.9000000,69
QIWI,D,20140325,000000,1217.9000000,1150
QIWI,D,20140326,000000,1259.7000000,412
QIWI,D,20140327,000000,1151.3000000,1045
